"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.583340900E-1,1.134317589E1,-3.008974552E0,5.682953835E0,1.303907709E1
1.605108690E-1,1.167278671E1,-2.629113913E0,6.233901024E0,1.349176458E1
1.627322840E-1,1.197428226E1,-2.154138565E0,6.602993965E0,1.384280600E1
1.649294880E-1,1.219442272E1,-1.545763373E0,6.912864685E0,1.410251850E1
1.671314030E-1,1.240080357E1,-8.811569214E-1,6.959524632E0,1.424750328E1
1.693142030E-1,1.258325577E1,-2.117647976E-1,7.015756130E0,1.440846987E1
1.714843690E-1,1.271785259E1,3.960121572E-1,7.200601578E0,1.462016632E1
1.736861920E-1,1.281416321E1,9.960124493E-1,7.619943619E0,1.494183256E1
1.759079940E-1,1.280937767E1,1.620539188E0,8.143373489E0,1.526501999E1
1.781106310E-1,1.278126240E1,2.109273195E0,8.361120224E0,1.541810732E1
1.803069490E-1,1.281057453E1,2.430509567E0,8.536993027E0,1.558519960E1
1.824988130E-1,1.282014561E1,2.714657307E0,8.899505615E0,1.584066595E1
1.846937910E-1,1.282014561E1,2.916850805E0,9.152546883E0,1.601977735E1
1.868886260E-1,1.277707481E1,3.103491068E0,9.151350021E0,1.601975358E1
1.890839890E-1,1.274357510E1,3.324826956E0,9.394221306E0,1.617728576E1
1.912739400E-1,1.275314617E1,3.449851990E0,9.604191780E0,1.633354572E1
1.934510740E-1,1.275793171E1,3.538386583E0,9.976874352E0,1.657778703E1
1.956722850E-1,1.279561901E1,3.601198196E0,1.017787075E1,1.674173072E1
1.978623600E-1,1.286261845E1,3.644867182E0,1.036510944E1,1.691648616E1
2.000469710E-1,1.293440247E1,3.727419376E0,1.055653572E1,1.710651539E1
2.022562000E-1,1.301516056E1,3.814159393E0,1.075274658E1,1.730791077E1
2.044270570E-1,1.314437294E1,3.929612875E0,1.091127110E1,1.752918236E1
2.066555460E-1,1.345065403E1,4.202394962E0,1.103689480E1,1.789953251E1
2.088435920E-1,1.376590824E1,4.153940201E0,1.108235836E1,1.815417626E1
2.110333910E-1,1.413380527E1,4.100699902E0,1.109492016E1,1.843034033E1
