"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.568428730E-1,3.570689678E0,7.214360237E-1,2.226521492E0,4.269390199E0
1.590399660E-1,3.733401537E0,7.734799385E-1,2.184048891E0,4.393930793E0
1.612349120E-1,3.891327858E0,8.494520187E-1,2.166102648E0,4.533872728E0
1.634251390E-1,4.063611031E0,9.302098155E-1,2.099701881E0,4.667651754E0
1.656016730E-1,4.259822369E0,1.054038405E0,2.091326952E0,4.861145132E0
1.678234950E-1,4.479363918E0,1.158724308E0,2.068595171E0,5.068178086E0
1.700135380E-1,4.694717884E0,1.215553880E0,2.074577332E0,5.274639168E0
1.721975490E-1,4.881358147E0,1.287338614E0,2.114058733E0,5.473037766E0
1.744121990E-1,5.009972572E0,1.335195065E0,2.163111687E0,5.617973229E0
1.766036050E-1,5.105685234E0,1.368694544E0,2.234896421E0,5.738998909E0
1.787873210E-1,5.163113117E0,1.387837172E0,2.321636200E0,5.828706865E0
1.810002430E-1,5.210969448E0,1.402194023E0,2.341377020E0,5.882380217E0
1.831961650E-1,5.230112076E0,1.402792215E0,2.350948334E0,5.903291996E0
1.853980080E-1,5.258825779E0,1.363908887E0,2.298306227E0,5.898958174E0
1.875888860E-1,5.277968407E0,1.315454245E0,2.236690998E0,5.881339728E0
1.897859890E-1,5.315655708E0,1.238883972E0,2.132004976E0,5.859733298E0
1.919821960E-1,5.353940487E0,1.171286702E0,2.041675806E0,5.848506764E0
1.941783440E-1,5.377869129E0,1.060618639E0,1.908276081E0,5.804128347E0
1.963762910E-1,5.401797295E0,9.355936646E-1,1.779661894E0,5.763848191E0
1.985806770E-1,5.411368370E0,7.956135273E-1,1.637288928E0,5.709345283E0
2.007652870E-1,5.406582832E0,6.275177598E-1,1.489532113E0,5.643015362E0
2.029552900E-1,5.401797295E0,4.408775866E-1,1.365703583E0,5.589180023E0
2.051298100E-1,5.396413326E0,2.632105052E-1,1.270588875E0,5.550220955E0
2.073552120E-1,5.420341492E0,8.554340899E-2,1.161715388E0,5.544096158E0
2.095442590E-1,5.453841209E0,-9.690931439E-2,1.062413216E0,5.557202281E0
2.117296740E-1,5.505885124E0,-2.650051117E-1,9.296116233E-1,5.590096285E0
2.139427880E-1,5.553741455E0,-4.618147612E-1,8.159525394E-1,5.632325947E0
2.161363920E-1,5.611168861E0,-6.245267391E-1,7.112665176E-1,5.690443717E0
2.183309310E-1,5.658427238E0,-7.830511928E-1,6.071787477E-1,5.744530792E0
2.205312290E-1,5.715855122E0,-9.224331379E-1,4.935196638E-1,5.810804103E0
2.227269770E-1,5.778068542E0,-1.052243710E0,4.229314029E-1,5.888307386E0
2.249270210E-1,5.839683533E0,-1.186241865E0,3.756731451E-1,5.970779165E0
2.271196280E-1,5.911468506E0,-1.292124271E0,3.290131092E-1,6.059974806E0
2.293100160E-1,5.968895912E0,-1.402194023E0,3.014956415E-1,6.138791910E0
2.314856850E-1,6.044867992E0,-1.512862086E0,2.685943544E-1,6.237092565E0
2.337053200E-1,6.102295876E0,-1.622931957E0,2.745763958E-1,6.320388856E0
2.358940310E-1,6.159125328E0,-1.737189293E0,2.799602449E-1,6.405546751E0
2.381067800E-1,6.245266914E0,-1.843071699E0,2.476571500E-1,6.516257069E0
2.402965980E-1,6.345765591E0,-1.938784599E0,2.297109663E-1,6.639306725E0
2.424960110E-1,6.445665836E0,-2.073380709E0,2.069791555E-1,6.774094479E0
2.446889230E-1,6.550352097E0,-2.202593327E0,2.039881349E-1,6.913764612E0
2.468860970E-1,6.665207386E0,-2.356332064E0,1.333998591E-1,7.070720318E0
2.490744210E-1,6.769893646E0,-2.504687071E0,1.304088384E-1,7.219551494E0
2.512513620E-1,6.865606308E0,-2.657827854E0,1.220339537E-1,7.363116946E0
2.534734380E-1,7.003791809E0,-2.820539713E0,9.990034252E-2,7.551061121E0
2.556692690E-1,7.113263607E0,-2.979064226E0,7.716853172E-2,7.712282268E0
2.578723330E-1,7.232904434E0,-3.141776085E0,7.896314561E-2,7.886184039E0
2.600628650E-1,7.337590694E0,-3.285345554E0,5.623133108E-2,8.039707369E0
2.622575260E-1,7.428517818E0,-3.404986620E0,3.828516230E-2,8.171797637E0
2.644560940E-1,7.509275436E0,-3.525225878E0,-3.589233849E-3,8.295567970E0
2.666605820E-1,7.604988575E0,-3.635295868E0,-4.067798331E-2,8.429287157E0
2.688463020E-1,7.676175117E0,-3.745963812E0,-6.340979785E-2,8.541658511E0
2.710434650E-1,7.767102242E0,-3.865604877E0,-1.196411327E-1,8.676698237E0
2.732358590E-1,7.890930653E0,-3.990629911E0,-2.045863420E-1,8.844985541E0
2.754286790E-1,8.058428764E0,-4.144967079E0,-3.026920557E-1,9.067008808E0
2.776069730E-1,8.225327492E0,-4.337589264E0,-5.114658475E-1,9.313017249E0
2.798276550E-1,8.464012146E0,-4.592424870E0,-7.668996453E-1,9.660124371E0
2.820257650E-1,8.669795036E0,-4.775475979E0,-9.320043921E-1,9.941788017E0
